office,town,candidate,party,votes,vote_percent
United States Senator,Chester,Peter Lumaj,R,10,7.87%
Secretary of the State,Chester,Dominic Rapini,R,77,64.17%
Secretary of the State,Chester,Terrie E. Wood,R,43,35.83%
United States Senator,Clinton,Themis Klarides,R,179,35.94%
United States Senator,Clinton,Leora R. Levy,R,272,54.62%
United States Senator,Clinton,Peter Lumaj,R,47,9.44%
Secretary of the State,Clinton,Dominic Rapini,R,257,56.98%
Secretary of the State,Clinton,Terrie E. Wood,R,194,43.02%
United States Senator,Colchester,Themis Klarides,R,264,39.58%
United States Senator,Colchester,Leora R. Levy,R,340,50.97%
United States Senator,Colchester,Peter Lumaj,R,63,9.45%
Secretary of the State,Colchester,Dominic Rapini,R,357,55.96%
Secretary of the State,Colchester,Terrie E. Wood,R,281,44.04%
Registrar of Voters,Colchester,Julianne Shilosky,R,443,67.33%
Registrar of Voters,Colchester,Rachel Fuller,R,215,32.67%
United States Senator,Colebrook,Themis Klarides,R,36,39.56%
United States Senator,Colebrook,Leora R. Levy,R,47,51.65%
United States Senator,Colebrook,Peter Lumaj,R,8,8.79%
Secretary of the State,Colebrook,Dominic Rapini,R,42,47.73%
Secretary of the State,Colebrook,Terrie E. Wood,R,46,52.27%
United States Senator,Columbia,Themis Klarides,R,75,31.25%
United States Senator,Columbia,Leora R. Levy,R,133,55.42%
United States Senator,Columbia,Peter Lumaj,R,32,13.33%
Secretary of the State,Columbia,Dominic Rapini,R,139,61.78%
Secretary of the State,Columbia,Terrie E. Wood,R,86,38.22%
United States Senator,Cornwall,Themis Klarides,R,36,66.67%
United States Senator,Cornwall,Leora R. Levy,R,13,24.07%
United States Senator,Cornwall,Peter Lumaj,R,5,9.26%
Secretary of the State,Cornwall,Dominic Rapini,R,33,61.11%
Secretary of the State,Cornwall,Terrie E. Wood,R,21,38.89%
United States Senator,Coventry,Themis Klarides,R,110,23.35%
United States Senator,Coventry,Leora R. Levy,R,315,66.88%
United States Senator,Coventry,Peter Lumaj,R,46,9.77%
Secretary of the State,Coventry,Dominic Rapini,R,238,52.08%
Secretary of the State,Coventry,Terrie E. Wood,R,219,47.92%
United States Senator,Cromwell,Themis Klarides,R,215,43.35%
United States Senator,Cromwell,Leora R. Levy,R,236,47.58%
United States Senator,Cromwell,Peter Lumaj,R,45,9.07%
Secretary of the State,Cromwell,Dominic Rapini,R,286,60.21%
Secretary of the State,Cromwell,Terrie E. Wood,R,189,39.79%
United States Senator,Danbury,Themis Klarides,R,360,30.48%
United States Senator,Danbury,Leora R. Levy,R,688,58.26%
United States Senator,Danbury,Peter Lumaj,R,133,11.26%
Secretary of the State,Danbury,Dominic Rapini,R,589,52.17%
Secretary of the State,Danbury,Terrie E. Wood,R,540,47.83%
United States Senator,Darien,Themis Klarides,R,746,63.60%
United States Senator,Darien,Leora R. Levy,R,347,29.58%
United States Senator,Darien,Peter Lumaj,R,80,6.82%
Representative in Congress 04,Darien,Jayme Stevenson,R,1176,90.53%
Representative in Congress 04,Darien,Michael Ted Goldstein,R,123,9.47%
Secretary of the State,Darien,Dominic Rapini,R,138,10.66%
Secretary of the State,Darien,Terrie E. Wood,R,1157,89.34%
United States Senator,Deep River,Themis Klarides,R,77,52.74%
United States Senator,Deep River,Leora R. Levy,R,58,39.73%
United States Senator,Deep River,Peter Lumaj,R,11,7.53%
Secretary of the State,Deep River,Dominic Rapini,R,60,45.45%
Secretary of the State,Deep River,Terrie E. Wood,R,72,54.55%
United States Senator,Derby,Themis Klarides,R,162,55.67%
United States Senator,Derby,Leora R. Levy,R,108,37.11%
United States Senator,Derby,Peter Lumaj,R,21,7.22%
Secretary of the State,Derby,Dominic Rapini,R,173,65.78%
Secretary of the State,Derby,Terrie E. Wood,R,90,34.22%
United States Senator,Durham,Themis Klarides,R,114,34.13%
United States Senator,Durham,Leora R. Levy,R,202,60.48%
United States Senator,Durham,Peter Lumaj,R,18,5.39%
Secretary of the State,Durham,Dominic Rapini,R,199,63.78%
Secretary of the State,Durham,Terrie E. Wood,R,113,36.22%
United States Senator,Eastford,Themis Klarides,R,44,37.29%
United States Senator,Eastford,Leora R. Levy,R,59,50.00%
United States Senator,Eastford,Peter Lumaj,R,15,12.71%
Secretary of the State,Eastford,Dominic Rapini,R,56,51.38%
Secretary of the State,Eastford,Terrie E. Wood,R,53,48.62%
United States Senator,East Granby,Themis Klarides,R,70,33.02%
United States Senator,East Granby,Leora R. Levy,R,113,53.30%
United States Senator,East Granby,Peter Lumaj,R,29,13.68%
Secretary of the State,East Granby,Dominic Rapini,R,104,51.74%
Secretary of the State,East Granby,Terrie E. Wood,R,97,48.26%
United States Senator,East Haddam,Themis Klarides,R,140,31.32%
United States Senator,East Haddam,Leora R. Levy,R,269,60.18%
United States Senator,East Haddam,Peter Lumaj,R,38,8.50%
Secretary of the State,East Haddam,Dominic Rapini,R,237,54.86%
Secretary of the State,East Haddam,Terrie E. Wood,R,195,45.14%
United States Senator,East Hampton,Themis Klarides,R,183,37.89%
United States Senator,East Hampton,Leora R. Levy,R,263,54.45%
United States Senator,East Hampton,Peter Lumaj,R,37,7.66%
Secretary of the State,East Hampton,Dominic Rapini,R,261,56.49%
Secretary of the State,East Hampton,Terrie E. Wood,R,201,43.51%
United States Senator,East Hartford,Themis Klarides,R,199,34.85%
United States Senator,East Hartford,Leora R. Levy,R,331,57.97%
United States Senator,East Hartford,Peter Lumaj,R,41,7.18%
Secretary of the State,East Hartford,Dominic Rapini,R,305,61.12%
Secretary of the State,East Hartford,Terrie E. Wood,R,194,38.88%
United States Senator,East Haven,Themis Klarides,R,216,35.24%
United States Senator,East Haven,Leora R. Levy,R,368,60.03%
United States Senator,East Haven,Peter Lumaj,R,29,4.73%
Secretary of the State,East Haven,Dominic Rapini,R,375,65.91%
Secretary of the State,East Haven,Terrie E. Wood,R,194,34.09%
United States Senator,East Lyme,Themis Klarides,R,273,47.98%
United States Senator,East Lyme,Leora R. Levy,R,237,41.65%
United States Senator,East Lyme,Peter Lumaj,R,59,10.37%
Secretary of the State,East Lyme,Dominic Rapini,R,245,45.04%
Secretary of the State,East Lyme,Terrie E. Wood,R,299,54.96%
United States Senator,Easton,Themis Klarides,R,131,38.64%
United States Senator,Easton,Leora R. Levy,R,184,54.28%
United States Senator,Easton,Peter Lumaj,R,24,7.08%
Representative in Congress 04,Easton,Jayme Stevenson,R,166,49.70%
Representative in Congress 04,Easton,Michael Ted Goldstein,R,168,50.30%
Secretary of the State,Easton,Dominic Rapini,R,190,57.40%
Secretary of the State,Easton,Terrie E. Wood,R,141,42.60%
United States Senator,East Windsor,Themis Klarides,R,95,27.94%
United States Senator,East Windsor,Leora R. Levy,R,213,62.65%
United States Senator,East Windsor,Peter Lumaj,R,32,9.41%
Secretary of the State,East Windsor,Dominic Rapini,R,143,45.54%
Secretary of the State,East Windsor,Terrie E. Wood,R,171,54.46%
United States Senator,Ellington,Themis Klarides,R,195,35.85%
United States Senator,Ellington,Leora R. Levy,R,299,54.96%
United States Senator,Ellington,Peter Lumaj,R,50,9.19%
Secretary of the State,Ellington,Dominic Rapini,R,298,57.09%
Secretary of the State,Ellington,Terrie E. Wood,R,224,42.91%
United States Senator,Enfield,Themis Klarides,R,291,26.65%
United States Senator,Enfield,Leora R. Levy,R,688,63.00%
United States Senator,Enfield,Peter Lumaj,R,113,10.35%
Secretary of the State,Enfield,Dominic Rapini,R,623,59.16%
Secretary of the State,Enfield,Terrie E. Wood,R,430,40.84%
United States Senator,Essex,Themis Klarides,R,142,49.13%
United States Senator,Essex,Leora R. Levy,R,126,43.60%
United States Senator,Essex,Peter Lumaj,R,21,7.27%
Secretary of the State,Essex,Dominic Rapini,R,172,63.94%
Secretary of the State,Essex,Terrie E. Wood,R,97,36.06%
United States Senator,Fairfield,Themis Klarides,R,859,49.14%
United States Senator,Fairfield,Leora R. Levy,R,698,39.93%
United States Senator,Fairfield,Peter Lumaj,R,191,10.93%
Representative in Congress 04,Fairfield,Jayme Stevenson,R,1106,64.49%
Representative in Congress 04,Fairfield,Michael Ted Goldstein,R,609,35.51%
Secretary of the State,Fairfield,Dominic Rapini,R,1023,60.14%
Secretary of the State,Fairfield,Terrie E. Wood,R,678,39.86%
United States Senator,Farmington,Themis Klarides,R,394,39.05%
United States Senator,Farmington,Leora R. Levy,R,526,52.13%
United States Senator,Farmington,Peter Lumaj,R,89,8.82%
Secretary of the State,Farmington,Dominic Rapini,R,503,52.07%
Secretary of the State,Farmington,Terrie E. Wood,R,463,47.93%
United States Senator,Franklin,Themis Klarides,R,27,35.06%
United States Senator,Franklin,Leora R. Levy,R,40,51.95%
United States Senator,Franklin,Peter Lumaj,R,10,12.99%
Secretary of the State,Franklin,Dominic Rapini,R,43,61.43%
Secretary of the State,Franklin,Terrie E. Wood,R,27,38.57%
United States Senator,Glastonbury,Themis Klarides,R,502,41.15%
United States Senator,Glastonbury,Leora R. Levy,R,609,49.92%
United States Senator,Glastonbury,Peter Lumaj,R,109,8.93%
Secretary of the State,Glastonbury,Dominic Rapini,R,710,61.37%
Secretary of the State,Glastonbury,Terrie E. Wood,R,447,38.63%
United States Senator,Goshen,Themis Klarides,R,107,45.15%
United States Senator,Goshen,Leora R. Levy,R,118,49.79%
United States Senator,Goshen,Peter Lumaj,R,12,5.06%
Secretary of the State,Goshen,Dominic Rapini,R,123,57.48%
Secretary of the State,Goshen,Terrie E. Wood,R,91,42.52%
United States Senator,Granby,Themis Klarides,R,239,39.57%
United States Senator,Granby,Leora R. Levy,R,319,52.81%
United States Senator,Granby,Peter Lumaj,R,46,7.62%
Secretary of the State,Granby,Dominic Rapini,R,326,56.50%
Secretary of the State,Granby,Terrie E. Wood,R,251,43.50%
United States Senator,Greenwich,Themis Klarides,R,979,34.62%
United States Senator,Greenwich,Leora R. Levy,R,1720,60.82%
United States Senator,Greenwich,Peter Lumaj,R,129,4.56%
Representative in Congress 04,Greenwich,Jayme Stevenson,R,1355,48.62%
Representative in Congress 04,Greenwich,Michael Ted Goldstein,R,1432,51.38%
Secretary of the State,Greenwich,Dominic Rapini,R,1757,64.34%
Secretary of the State,Greenwich,Terrie E. Wood,R,974,35.66%
United States Senator,Griswold,Themis Klarides,R,109,31.50%
United States Senator,Griswold,Leora R. Levy,R,193,55.78%
United States Senator,Griswold,Peter Lumaj,R,44,12.72%
Secretary of the State,Griswold,Dominic Rapini,R,166,50.30%
Secretary of the State,Griswold,Terrie E. Wood,R,164,49.70%
United States Senator,Groton,Themis Klarides,R,315,44.06%
United States Senator,Groton,Leora R. Levy,R,313,43.78%
United States Senator,Groton,Peter Lumaj,R,87,12.17%
Secretary of the State,Groton,Dominic Rapini,R,331,49.92%
Secretary of the State,Groton,Terrie E. Wood,R,332,50.08%
United States Senator,Guilford,Themis Klarides,R,304,37.86%
United States Senator,Guilford,Leora R. Levy,R,438,54.55%
United States Senator,Guilford,Peter Lumaj,R,61,7.60%
Secretary of the State,Guilford,Dominic Rapini,R,503,66.45%
Secretary of the State,Guilford,Terrie E. Wood,R,254,33.55%
United States Senator,Haddam,Themis Klarides,R,142,31.14%
United States Senator,Haddam,Leora R. Levy,R,261,57.24%
United States Senator,Haddam,Peter Lumaj,R,53,11.62%
Secretary of the State,Haddam,Dominic Rapini,R,257,58.54%
Secretary of the State,Haddam,Terrie E. Wood,R,182,41.46%
United States Senator,Hamden,Themis Klarides,R,468,46.47%
United States Senator,Hamden,Leora R. Levy,R,466,46.28%
United States Senator,Hamden,Peter Lumaj,R,73,7.25%
Secretary of the State,Hamden,Dominic Rapini,R,672,69.35%
Secretary of the State,Hamden,Terrie E. Wood,R,297,30.65%
United States Senator,Hampton,Themis Klarides,R,19,31.15%
United States Senator,Hampton,Leora R. Levy,R,34,55.74%
United States Senator,Hampton,Peter Lumaj,R,8,13.11%
Secretary of the State,Hampton,Dominic Rapini,R,27,48.21%
Secretary of the State,Hampton,Terrie E. Wood,R,29,51.79%
United States Senator,Hartford,Themis Klarides,R,70,35.90%
United States Senator,Hartford,Leora R. Levy,R,97,49.74%
United States Senator,Hartford,Peter Lumaj,R,28,14.36%
Secretary of the State,Hartford,Dominic Rapini,R,90,52.63%
Secretary of the State,Hartford,Terrie E. Wood,R,81,47.37%
United States Senator,Hartland,Themis Klarides,R,56,32.75%
United States Senator,Hartland,Leora R. Levy,R,88,51.46%
United States Senator,Hartland,Peter Lumaj,R,27,15.79%
Secretary of the State,Hartland,Dominic Rapini,R,84,52.83%
Secretary of the State,Hartland,Terrie E. Wood,R,75,47.17%
United States Senator,Harwinton,Themis Klarides,R,121,37.12%
United States Senator,Harwinton,Leora R. Levy,R,163,50.00%
United States Senator,Harwinton,Peter Lumaj,R,42,12.88%
Secretary of the State,Harwinton,Dominic Rapini,R,164,53.59%
Secretary of the State,Harwinton,Terrie E. Wood,R,142,46.41%
United States Senator,Hebron,Themis Klarides,R,150,38.27%
United States Senator,Hebron,Leora R. Levy,R,187,47.70%
United States Senator,Hebron,Peter Lumaj,R,55,14.03%
Secretary of the State,Hebron,Dominic Rapini,R,225,59.52%
Secretary of the State,Hebron,Terrie E. Wood,R,153,40.48%
United States Senator,Kent,Themis Klarides,R,24,26.97%
United States Senator,Kent,Leora R. Levy,R,51,57.30%
United States Senator,Kent,Peter Lumaj,R,14,15.73%
Secretary of the State,Kent,Dominic Rapini,R,47,55.95%
Secretary of the State,Kent,Terrie E. Wood,R,37,44.05%
United States Senator,Killingly,Themis Klarides,R,73,20.92%
United States Senator,Killingly,Leora R. Levy,R,214,61.32%
United States Senator,Killingly,Peter Lumaj,R,62,17.77%
Secretary of the State,Killingly,Dominic Rapini,R,175,53.03%
Secretary of the State,Killingly,Terrie E. Wood,R,155,46.97%
United States Senator,Killingworth,Themis Klarides,R,138,38.66%
United States Senator,Killingworth,Leora R. Levy,R,199,55.74%
United States Senator,Killingworth,Peter Lumaj,R,20,5.60%
Secretary of the State,Killingworth,Dominic Rapini,R,199,60.30%
Secretary of the State,Killingworth,Terrie E. Wood,R,131,39.70%
United States Senator,Lebanon,Themis Klarides,R,85,24.85%
United States Senator,Lebanon,Leora R. Levy,R,186,54.39%
United States Senator,Lebanon,Peter Lumaj,R,71,20.76%
Secretary of the State,Lebanon,Dominic Rapini,R,196,61.64%
Secretary of the State,Lebanon,Terrie E. Wood,R,122,38.36%
United States Senator,Ledyard,Themis Klarides,R,175,37.80%
United States Senator,Ledyard,Leora R. Levy,R,232,50.11%
United States Senator,Ledyard,Peter Lumaj,R,56,12.10%
Secretary of the State,Ledyard,Dominic Rapini,R,244,54.22%
Secretary of the State,Ledyard,Terrie E. Wood,R,206,45.78%
United States Senator,Lisbon,Themis Klarides,R,58,34.32%
United States Senator,Lisbon,Leora R. Levy,R,87,51.48%
United States Senator,Lisbon,Peter Lumaj,R,24,14.20%
Secretary of the State,Lisbon,Dominic Rapini,R,90,55.90%
Secretary of the State,Lisbon,Terrie E. Wood,R,71,44.10%
United States Senator,Litchfield,Themis Klarides,R,235,43.04%
United States Senator,Litchfield,Leora R. Levy,R,244,44.69%
United States Senator,Litchfield,Peter Lumaj,R,67,12.27%
Secretary of the State,Litchfield,Dominic Rapini,R,288,57.03%
Secretary of the State,Litchfield,Terrie E. Wood,R,217,42.97%
United States Senator,Lyme,Themis Klarides,R,54,47.79%
United States Senator,Lyme,Leora R. Levy,R,52,46.02%
United States Senator,Lyme,Peter Lumaj,R,7,6.19%
Secretary of the State,Lyme,Dominic Rapini,R,51,47.22%
Secretary of the State,Lyme,Terrie E. Wood,R,57,52.78%
United States Senator,Madison,Themis Klarides,R,388,49.18%
United States Senator,Madison,Leora R. Levy,R,344,43.60%
United States Senator,Madison,Peter Lumaj,R,57,7.22%
Secretary of the State,Madison,Dominic Rapini,R,440,58.43%
Secretary of the State,Madison,Terrie E. Wood,R,313,41.57%
United States Senator,Manchester,Themis Klarides,R,420,37.43%
United States Senator,Manchester,Leora R. Levy,R,578,51.52%
United States Senator,Manchester,Peter Lumaj,R,124,11.05%
Secretary of the State,Manchester,Dominic Rapini,R,594,55.93%
Secretary of the State,Manchester,Terrie E. Wood,R,468,44.07%
United States Senator,Mansfield,Themis Klarides,R,66,31.43%
United States Senator,Mansfield,Leora R. Levy,R,124,59.05%
United States Senator,Mansfield,Peter Lumaj,R,20,9.52%
Secretary of the State,Mansfield,Dominic Rapini,R,116,55.50%
Secretary of the State,Mansfield,Terrie E. Wood,R,93,44.50%
United States Senator,Marlborough,Themis Klarides,R,98,36.57%
United States Senator,Marlborough,Leora R. Levy,R,139,51.87%
United States Senator,Marlborough,Peter Lumaj,R,31,11.57%
Secretary of the State,Marlborough,Dominic Rapini,R,152,60.08%
Secretary of the State,Marlborough,Terrie E. Wood,R,101,39.92%
United States Senator,Meriden,Themis Klarides,R,277,32.82%
United States Senator,Meriden,Leora R. Levy,R,478,56.64%
United States Senator,Meriden,Peter Lumaj,R,89,10.55%
Secretary of the State,Meriden,Dominic Rapini,R,477,60.30%
Secretary of the State,Meriden,Terrie E. Wood,R,314,39.70%
United States Senator,Middlebury,Themis Klarides,R,306,49.84%
United States Senator,Middlebury,Leora R. Levy,R,229,37.30%
United States Senator,Middlebury,Peter Lumaj,R,79,12.87%
Secretary of the State,Middlebury,Dominic Rapini,R,362,61.77%
Secretary of the State,Middlebury,Terrie E. Wood,R,224,38.23%
Judge of Probate 21,Middlebury,Rosa C. Rebimbas,R,291,46.94%
Judge of Probate 21,Middlebury,Peter E. Mariano,R,329,53.06%
United States Senator,Middlefield,Themis Klarides,R,61,36.75%
United States Senator,Middlefield,Leora R. Levy,R,93,56.02%
United States Senator,Middlefield,Peter Lumaj,R,12,7.23%
Secretary of the State,Middlefield,Dominic Rapini,R,89,57.05%
Secretary of the State,Middlefield,Terrie E. Wood,R,67,42.95%
United States Senator,Middletown,Themis Klarides,R,260,33.29%
United States Senator,Middletown,Leora R. Levy,R,448,57.36%
United States Senator,Middletown,Peter Lumaj,R,73,9.35%
Secretary of the State,Middletown,Dominic Rapini,R,463,62.65%
Secretary of the State,Middletown,Terrie E. Wood,R,276,37.35%
United States Senator,Milford,Themis Klarides,R,675,48.04%
United States Senator,Milford,Leora R. Levy,R,616,43.84%
United States Senator,Milford,Peter Lumaj,R,114,8.11%
Secretary of the State,Milford,Dominic Rapini,R,835,62.78%
Secretary of the State,Milford,Terrie E. Wood,R,495,37.22%
United States Senator,Monroe,Themis Klarides,R,236,38.44%
United States Senator,Monroe,Leora R. Levy,R,318,51.79%
United States Senator,Monroe,Peter Lumaj,R,60,9.77%
Representative in Congress 04,Monroe,Jayme Stevenson,R,350,58.24%
