office,town,candidate,party,votes,vote_percent
First Selectman,statewide,Stephen F. Sordi,R,619,65.43%
Board of Finance Full Term,statewide,Walter Barlow,D,148,32.67%
Board of Finance Full Term,statewide,Dennis Macdonald,D,133,29.36%
Board of Finance Full Term,statewide,Walter Barlow,R,85,18.76%
Board of Finance Full Term,statewide,Dennis Macdonald,R,87,19.21%
First Selectman,statewide,Steve Dunn,D,2812,53.90%
First Selectman,statewide,Tara Carr,R,2405,46.10%
First Selectman,statewide,Bob Namnoum,D,1561,46.92%
First Selectman,statewide,Kevin Witkos,R,1766,53.08%
Councilmen at Large,statewide,Gregory Wolff,D,3551,10.00%
Councilmen at Large,statewide,Deena Allard,D,3601,10.14%
Councilmen at Large,statewide,Peter J. Talbot,D,4023,11.33%
Councilmen at Large,statewide,A. Fiona Pearson,D,3741,10.53%
Councilmen at Large,statewide,Louis Todisco,D,3530,9.94%
Councilmen at Large,statewide,David J. Borowy,R,3452,9.72%
Councilmen at Large,statewide,Sylvia Nichols,R,3455,9.73%
Councilmen at Large,statewide,John Milone,R,3335,9.39%
Councilmen at Large,statewide,Sandy Pavano,R,3227,9.09%
Councilmen at Large,statewide,Tim Slocum,R,3597,10.13%
First Selectman,statewide,Gordon M. Ridgway,D,414,69.58%
First Selectman,statewide,Kenneth C. Baird,R,181,30.42%
Mayor,statewide,Roberto L. Alves,D,7119,49.23%
Mayor,statewide,Dean E. Esposito,R,7094,49.06%
Mayor,statewide,Roberto L. Alves,WF,247,1.71%
First Selectman,statewide,Nick Lukiwsky,R,564,100.00%
Mayor,statewide,JoAnn Angelico-Stetson,D,1690,35.72%
Mayor,statewide,Mark H. Kaczynski,R,3041,64.28%
First Selectman,statewide,Todd M Carusillo,R,751,100.00%
Town Council,statewide,Craig C. Miller,D,945,8.73%
Town Council,statewide,Marie Diamond,D,934,8.63%
Town Council,statewide,Bruce Abelson,D,848,7.84%
Town Council,statewide,Thomas P. Zampano,R,1328,12.27%
Town Council,statewide,"Ronald Pelliccia, Jr.",R,1274,11.78%
Town Council,statewide,Jeffrey Macmillen,R,1399,12.93%
Town Council,statewide,Walter Goad,R,1335,12.34%
Town Council,statewide,Rose Marie Angeloni,R,1420,13.13%
Town Council,statewide,Nick Palladino,R,1336,12.35%
First Selectman,statewide,Michael J. Freda,R,4434,100.00%
First Selectman,statewide,Michael R Criss,R,1135,100.00%
Town Council Two Year Term,statewide,Cindi Lloyd,D,2674,13.43%
Town Council Two Year Term,statewide,Danielle C. Wong,D,2857,14.35%
Town Council Two Year Term,statewide,Kenneth L. McClary,D,2704,13.58%
Town Council Two Year Term,statewide,Tony Harrington,D,2851,14.32%
Town Council Two Year Term,statewide,Todd E. Cooper,D,2667,13.40%
Town Council Two Year Term,statewide,Michael Oliver,D,2579,12.95%
Town Council Two Year Term,statewide,Seth M. Pitts,R,465,2.34%
Town Council Two Year Term,statewide,Shamar Mahon,R,1177,5.91%
Town Council Two Year Term,statewide,Elizabeth Waterhouse,R,631,3.17%
Town Council Two Year Term,statewide,Lisa Simone,R,556,2.79%
Town Council Two Year Term,statewide,Joseph Merritt,R,748,3.76%
First Selectman,statewide,Denise Raap,D,1863,60.64%
First Selectman,statewide,Norman Ambrose Sauer,R,1209,39.36%
Mayor,statewide,Kurt Hourigan,WE,149,1.89%
Mayor,statewide,Kevin Scarpati,D,4870,61.94%
Mayor,statewide,Kurt Hourigan,R,2844,36.17%
First Selectman,statewide,Mark Moyher,D,1864,38.07%
First Selectman,statewide,James M. Zeoli,R,3032,61.93%
Mayor,statewide,Robert J Chatfield,R,1579,100.00%
First Selectman,statewide,Philip Wilhelmy III,D,1270,35.27%
First Selectman,statewide,Annmarie Drugonis,R,2331,64.73%
Mayor,statewide,Scott W. Rosado,D,4724,39.15%
Mayor,statewide,Jeffrey Caggiano,R,7343,60.85%
Mayor,statewide,David A. Eldridge,D,5426,44.36%
Mayor,statewide,Mark A. Lauretti,R,6807,55.64%
Town Council District 1,statewide,Rachel S Rusnak,D,645,44.39%
Town Council District 1,statewide,"Thomas ""Bryan"" O'Connor",R,808,55.61%
Mayor,statewide,Riley O'Connell,D,6698,46.42%
Mayor,statewide,Vincent Cervoni,R,7732,53.58%
Mayor,statewide,Perry Palmer,WI,0,0.00%
First Selectman,statewide,Thomas Weik,R,303,100.00%
Mayor,statewide,Chris Anderson,D,2895,35.97%
Mayor,statewide,Erin Stewart,R,4895,60.82%
Mayor,statewide,Chris Anderson,WF,179,2.22%
Mayor,statewide,Alfred P. Mayo,PC,58,0.72%
Mayor,statewide,Angel D. Segarra,PC,22,0.27%
First Selectman,statewide,Patricia Del Monaco,D,2016,49.05%
First Selectman,statewide,Melissa A. Lindsey,R,2094,50.95%
First Selectman,statewide,Dan Cruson,D,3730,49.19%
First Selectman,statewide,Jeff Capeci,R,3853,50.81%
Mayor,statewide,Dorinda Borer,D,6001,60.78%
Mayor,statewide,Barry Lee Cohen,R,3473,35.18%
Mayor,statewide,Barry Lee Cohen,IND,198,2.01%
Mayor,statewide,Steven R Mullins,WI,201,2.04%
First Selectman,statewide,Mica Cardozo,D,1926,58.03%
First Selectman,statewide,Marty Halprin,R,1393,41.97%
First Selectman,statewide,Christian P. Allyn,D,296,26.88%
First Selectman,statewide,Brian M. Ohler,R,805,73.12%
First Selectman,statewide,Curtis Rand,D,969,100.00%
Mayor,statewide,Benjamin D. Florsheim,D,5065,60.36%
Mayor,statewide,Mike Marino,R,2984,35.56%
Mayor,statewide,Benjamin D. Florsheim,WF,343,4.09%
First Selectman,statewide,Casey T. Flanagan,D,521,100.00%
First Selectman,statewide,Don Lowe,D,934,75.38%
First Selectman,statewide,Jared J Bonner,R,210,16.95%
First Selectman,statewide,James Marshall Munch,PC,95,7.67%
First Selectman,statewide,Matthew Belval,D,510,30.93%
First Selectman,statewide,Edmond Mone,R,1139,69.07%
Board of Councilmen,statewide,Stephen Ivain,D,1652,10.88%
Board of Councilmen,statewide,Ed Corey,D,1609,10.60%
Board of Councilmen,statewide,Paul Cavagnero,D,1772,11.67%
Board of Councilmen,statewide,Keith Farrell,D,1400,9.22%
Board of Councilmen,statewide,Anne L. Ruwet,R,2393,15.76%
Board of Councilmen,statewide,David L. Oliver,R,1926,12.68%
Board of Councilmen,statewide,Molly E. Spino,R,2128,14.01%
Board of Councilmen,statewide,Drake L. Waldron,R,2305,15.18%
First Selectman,statewide,Jim Brinton,R,779,100.00%
Mayor,statewide,James Demetriades,D,2198,54.66%
Mayor,statewide,Jamin Deproto,R,1823,45.34%
First Selectman,statewide,Mark Ricketts,D,874,47.42%
First Selectman,statewide,Eden Wimpfheimer,R,969,52.58%
Mayor,statewide,Connor Martin,D,3656,74.26%
Mayor,statewide,Salema Davis,R,1267,25.74%
First Selectman,statewide,Jason E. Bowsza,D,1459,59.62%
First Selectman,statewide,Keith Yagaloff,PC,988,40.38%
Town Council,statewide,Deb Carroll,D,5360,9.35%
Town Council,statewide,Jennifer Wang,D,5508,9.61%
Town Council,statewide,Jake McChesney,D,5121,8.94%
Town Council,statewide,Tom Gullotta,D,5548,9.68%
Town Council,statewide,Larry Niland,D,5279,9.21%
Town Council,statewide,Mary LaChance,D,5356,9.35%
Town Council,statewide,John Cavanna,R,4482,7.82%
Town Council,statewide,Rachna Khanna,R,3934,6.86%
Town Council,statewide,Kurt Cavanaugh,R,4404,7.69%
Town Council,statewide,Kim Finocchiaro,R,4020,7.01%
Town Council,statewide,Whit Osgood,R,4289,7.48%
Town Council,statewide,Kevin Nursick,R,4005,6.99%
First Selectman,statewide,Mark Fiorentino,R,2051,92.55%
First Selectman,statewide,Glenn Ballard,WI,165,7.45%
First Selectman,statewide,Magi Winslow,D,149,38.90%
First Selectman,statewide,Magi Winslow,R,234,61.10%
Selectman,statewide,David Goshdigian,D,1245,33.70%
Selectman,statewide,Joshua Plourde,R,1256,34.00%
Selectman,statewide,Cheryl Byrne,R,1193,32.30%
Mayor,statewide,Thomas G. Dunn,PC,2126,100.00%
First Selectman,statewide,David R. Barger,D,274,60.75%
First Selectman,statewide,Greg D. Marlowe,R,177,39.25%
Town Council Chair,statewide,Rafeena Bacchus Lee,D,3349,47.60%
Town Council Chair,statewide,Joe Capodiferro,R,3604,51.23%
Town Council Chair,statewide,William D Rebillard,PC,82,1.17%
First Selectman,statewide,Ryan J. Curley,R,2114,100.00%
First Selectman,statewide,Daniel V. Jerram,R,1313,100.00%
First Selectman,statewide,Tim O'Neil,D,2657,45.09%
First Selectman,statewide,Jeffrey A. Manville,R,3236,54.91%
Town Council,statewide,Jack Perry,D,5639,8.15%
Town Council,statewide,"Edward Pocock, III",D,5224,7.55%
Town Council,statewide,Stephen M. Salerno,D,5171,7.47%
Town Council,statewide,Valerie DePaolo,D,5796,8.38%
Town Council,statewide,David Zoni,D,5236,7.57%
Town Council,statewide,Chris Palmieri,D,6018,8.70%
Town Council,statewide,Tony Morrison,R,5825,8.42%
Town Council,statewide,Jim Morelli,R,6090,8.80%
Town Council,statewide,"Paul Chaplinsky, Jr.",R,6396,9.24%
Town Council,statewide,William Dziedzic,R,5709,8.25%
Town Council,statewide,Jennifer Clock,R,6104,8.82%
Town Council,statewide,Michael DelSanto,R,5996,8.66%
Town Council,statewide,Cesar Lopez,D,3000,7.23%
Town Council,statewide,Elizabeth E. Pendleton,D,3063,7.38%
Town Council,statewide,Erica Evans,D,3095,7.45%
Town Council,statewide,Karen Lydecker,D,2980,7.18%
Town Council,statewide,Anitha Elango,D,3054,7.36%
Town Council,statewide,"Steven King, Jr.",D,3112,7.50%
Town Council,statewide,"Richard M. Balboni, Jr.",R,3340,8.05%
Town Council,statewide,Michael Buganski,R,3084,7.43%
Town Council,statewide,Audrey Delnicki,R,3716,8.95%
Town Council,statewide,Matt Siracusa,R,3687,8.88%
Town Council,statewide,Carolyn Carey,R,3431,8.26%
Town Council,statewide,Toby Lewis,R,3193,7.69%
Mayor,statewide,Joseph P. Ganim,D,5729,41.28%
Mayor,statewide,David R. Herz,R,765,5.51%
Mayor,statewide,John Gomes,IND,5550,39.99%
Mayor,statewide,Lamond T. Daniels,PC,1836,13.23%
Town Council,statewide,Barry Walters,D,8323,12.01%
Town Council,statewide,Shari Cantor,D,9685,13.98%
Town Council,statewide,Deb Polun,D,8903,12.85%
Town Council,statewide,Carol A. Blanks,D,8761,12.64%
Town Council,statewide,Tiffani McGinnis,D,8846,12.77%
Town Council,statewide,Ben Wenograd,D,9237,13.33%
Town Council,statewide,Aaron Sarwar,R,3153,4.55%
Town Council,statewide,Alberto Cortes,R,3286,4.74%
Town Council,statewide,Mary Fay,R,3559,5.14%
Town Council,statewide,Mark Zydanowicz,R,3511,5.07%
Town Council,statewide,Emily Zambrello,D,3749,8.86%
Town Council,statewide,Ken Lesser,D,3960,9.36%
Town Council,statewide,Cynthia Clancy,D,3692,8.73%
Town Council,statewide,Miki Duric,D,3778,8.93%
Town Council,statewide,Jane Roets,D,3721,8.80%
Town Council,statewide,Matthew Forrest,D,3917,9.26%
Town Council,statewide,Rich Bailey,R,3329,7.87%
Town Council,statewide,Christopher C. Healy,R,3189,7.54%
Town Council,statewide,Brianna Timbro,R,3279,7.75%
Town Council,statewide,Amanda Drew,R,3196,7.55%
Town Council,statewide,Shelley Carbone,R,3280,7.75%
Town Council,statewide,Michael R. Bourassa,R,3216,7.60%
Board of Selectmen,statewide,Steven Sedlack,D,1013,8.68%
Board of Selectmen,statewide,Jack Bourque,D,953,8.17%
Board of Selectmen,statewide,Melissa Bird,D,908,7.78%
Board of Selectmen,statewide,Althea Candy Perez,D,1025,8.79%
Board of Selectmen,statewide,Linda Groppo,D,981,8.41%
Board of Selectmen,statewide,William Pozzo,R,1121,9.61%
Board of Selectmen,statewide,Troy Lamere,R,1332,11.42%
Board of Selectmen,statewide,Todd Arcelaschi,R,1423,12.20%
Board of Selectmen,statewide,William E. Hester,R,1270,10.89%
Board of Selectmen,statewide,Paul J. Marino Jr.,R,1290,11.06%
Board of Selectmen,statewide,David Gordon LaPointe,IND,350,3.00%
Town Council,statewide,Nuchette Black-Burke,D,3621,13.72%
Town Council,statewide,Darleen Klase,D,3618,13.71%
Town Council,statewide,Mary L. Armstrong,D,3593,13.61%
Town Council,statewide,Ojala Naeem,D,3551,13.45%
Town Council,statewide,Leroy A. Smith,D,3547,13.44%
Town Council,statewide,Will Pelkey,R,1694,6.42%
Town Council,statewide,Kristin Gluck Hoffman,R,1720,6.52%
Town Council,statewide,Ronald Eleveld,R,1660,6.29%
Town Council,statewide,Sophia Tetteh,R,1616,6.12%
Town Council,statewide,Len Walker,R,1775,6.72%
First Selectman,statewide,Bill Gerber,D,8960,50.10%
First Selectman,statewide,Brenda L. Kupchick,R,8924,49.90%
First Selectman,statewide,Bradley N. Bremer,D,367,58.91%
First Selectman,statewide,Jennifer F. LaRocque,R,256,41.09%
First Selectman,statewide,Laura Erickson,D,7883,40.41%
First Selectman,statewide,Fred Camillo,R,11622,59.58%
First Selectman,statewide,James C. Reilly,WI,1,0.01%
Mayor,statewide,Arunan Arulampalam,D,4702,62.05%
Mayor,statewide,Michael McGarry,R,485,6.40%
Mayor,statewide,Giselle GiGi Jacobs,PC,213,2.81%
Mayor,statewide,James S. McCauley,PC,443,5.85%
Mayor,statewide,Nick Lebron,PC,907,11.97%
Mayor,statewide,Mark Stewart Greenstein,PC,18,0.24%
Mayor,statewide,Eric D. Coleman,WI,803,10.60%
Mayor,statewide,Odile Dilone,WI,4,0.05%
Mayor,statewide,W. Michael Downes,WI,0,0.00%
Mayor,statewide,Tracy Loretta Funnye,WI,3,0.04%
First Selectman,statewide,Jerry Stevens,D,2726,48.36%
First Selectman,statewide,Terry Rooney,R,2911,51.64%
First Selectman,statewide,Julia Pemberton,D,1156,100.00%
First Selectman,statewide,Rudolph P. Marconi,D,4693,97.39%
First Selectman,statewide,Robert Cousins,WI,126,2.61%
Board of Finance,statewide,Geoff Alswanger,D,12330,27.12%
Board of Finance,statewide,Laura Burwick,D,12183,26.79%
Board of Finance,statewide,Mary Lou Rinaldi,D,13003,28.60%
Board of Finance,statewide,Thomas Kuczynski,R,7953,17.49%
First Selectman,statewide,Samantha Nestor,D,1791,60.30%
First Selectman,statewide,Stephan Grozinger,R,965,32.49%
First Selectman,statewide,Martin Mohabeer,WI,214,7.21%
Board of Finance,statewide,Danielle Dobin,D,6083,28.37%
Board of Finance,statewide,Jeffrey A. Hammer,D,6002,27.99%
Board of Finance,statewide,Rich Hightower,R,3171,14.79%
Board of Finance,statewide,Liz Heyer,R,3475,16.20%
Board of Finance,statewide,Perry Winter,R,2713,12.65%
First Selectman,statewide,Toni Boucher,R,3413,100.00%
Mayor,statewide,Ken Goldberg,D,1935,38.72%
Mayor,statewide,Lisa Marotta,R,3063,61.28%
First Selectman,statewide,Amy Murphy Carroll,D,3082,45.18%
First Selectman,statewide,Dionna Carlson,R,3739,54.82%
Mayor,statewide,Jon Trister,D,4088,52.92%
Mayor,statewide,Beth Kinsey DelBuono,R,3637,47.08%
First Selectman,statewide,Matthew T. Riiska,D,428,100.00%
Town Council,statewide,Benjamin Gediman,D,1924,10.62%
Town Council,statewide,Daniel F Hurley,D,1999,11.04%
Town Council,statewide,Quinn Christopher,D,1988,10.98%
Town Council,statewide,Christopher Wazorko,D,2009,11.09%
Town Council,statewide,Rosemary Morante,D,2013,11.11%
Town Council,statewide,Deborah Tompkins,R,1680,9.28%
Town Council,statewide,Jacob Rocco,R,1583,8.74%
Town Council,statewide,Joseph Catanzaro,R,1595,8.81%
Town Council,statewide,Katherine M Pugliese,R,1637,9.04%
Town Council,statewide,David Underwood,R,1685,9.30%
Mayor,statewide,Keith Piwczynski,D,666,34.26%
Mayor,statewide,Joseph Kilduff,R,1278,65.74%
First Selectman,statewide,Wendy Mackstutis,D,4427,59.75%
First Selectman,statewide,Kevin Beal,R,2982,40.25%
First Selectman,statewide,Jeff Maguire,D,512,57.27%
First Selectman,statewide,Adrian Mandeville,R,382,42.73%
Mayor,statewide,Paul Pernerewski,D,6267,49.60%
Mayor,statewide,Dawn L. Maiorano,R,5696,45.08%
Mayor,statewide,Keisha M. Gilliams,PC,575,4.55%
Mayor,statewide,Karen Jackson,PC,96,0.76%
Town Council,statewide,Rachael Ryan,D,1048,8.89%
Town Council,statewide,Denise Russ,D,1043,8.84%
Town Council,statewide,Carina Jurkiewicz Noyd,D,926,7.85%
Town Council,statewide,"Robert ""Herm"" Desena",R,2353,19.95%
Town Council,statewide,Jonathan Ramsay,R,2117,17.95%
Town Council,statewide,Mary Ann Rosa,R,2129,18.05%
Town Council,statewide,Rachael Ryan,IND,609,5.16%
Town Council,statewide,Katherine A Camara,IND,933,7.91%
Town Council,statewide,Carina Jurkiewicz Noyd,IND,635,5.38%
First Selectman,statewide,Debra W. Carlton,D,1230,45.15%
First Selectman,statewide,Barbara K. Perkinson,R,1494,54.85%
First Selectman,statewide,David Bindelglass,D,1623,57.86%
First Selectman,statewide,Wendy Bowditch,R,1182,42.14%
First Selectman,statewide,George Temple,R,2532,100.00%
First Selectman,statewide,Jamie Cosgrove,R,4702,100.00%
Mayor,statewide,Lauren Garrett,D,6536,56.45%
Mayor,statewide,Crystal Dailey,R,5042,43.55%
First Selectman,statewide,Calen Lang,D,1026,45.44%
First Selectman,statewide,Paula Cofrancesco,R,1232,54.56%
First Selectman,statewide,Paul M. Harrington,R,1832,100.00%
Mayor,statewide,Tom O'Brien,D,1939,29.45%
Mayor,statewide,Pete Bass,R,4646,70.55%
First Selectman,statewide,Gregory LaCava,D,119,46.85%
First Selectman,statewide,Gregory LaCava,R,135,53.15%
First Selectman,statewide,Lynn Mellis Worthington,D,460,39.59%
First Selectman,statewide,Martin J Lindenmayer,PC,587,50.52%
First Selectman,statewide,Rufus P De Rham,PC,115,9.90%
Board of Finance Full Term,statewide,Nanette Falkenberg,D,163,28.90%
Board of Finance Full Term,statewide,Bruce Haims,D,171,30.32%
Board of Finance Full Term,statewide,Nanette Falkenberg,R,119,21.10%
Board of Finance Full Term,statewide,Bruce Haims,R,111,19.68%
First Selectman,statewide,Vicki Tesoro,D,5730,52.34%
First Selectman,statewide,David  Pia,R,5217,47.66%
First Selectman,statewide,Jon Zagrodzky,R,2256,100.00%
Mayor,statewide,Jay Moran,D,6610,100.00%
Town Council,statewide,Sam Bruder,D,1733,13.36%
Town Council,statewide,Ben Shaiken,D,1745,13.45%
Town Council,statewide,Antonia Moran,D,1697,13.08%
Town Council,statewide,Carlita Cotton,D,1734,13.36%
Town Council,statewide,David Litrico,D,1675,12.91%
Town Council,statewide,Ronald Schurin,D,1692,13.04%
Town Council,statewide,Brian Q Coleman,R,593,4.57%
Town Council,statewide,Charles J Ausburger,R,584,4.50%
Town Council,statewide,Christopher Kueffner,R,738,5.69%
Town Council,statewide,G William Tomecko,R,784,6.04%
First Selectman,statewide,Cathryn E. Silver-Smith,D,669,50.53%
First Selectman,statewide,William A. Falletti,R,655,49.47%
First Selectman,statewide,Charlene Perkins Cutler,D,902,45.90%
First Selectman,statewide,John Swan Jr,R,1063,54.10%
First Selectman,statewide,Amanda D. Gordon,D,792,47.91%
First Selectman,statewide,Rodney Fournier,R,861,52.09%
Mayor,statewide,Michael Desaulniers,BL,61,2.53%
Mayor,statewide,Thomas DeVivo,D,1528,63.35%
Mayor,statewide,Michael Desaulniers,R,823,34.12%
First Selectman,statewide,Glenn S. Pianka,D,446,100.00%
First Selectman,statewide,Stuart Fisher,D,732,46.98%
First Selectman,statewide,Peter Tanaka,R,826,53.02%
First Selectman,statewide,Richard Ives,D,587,38.82%
First Selectman,statewide,Austin Tanner,R,925,61.18%
First Selectman,statewide,"John L. Hall, III",R,1194,100.00%
First Selectman,statewide,*,D,0,0.00%
First Selectman,statewide,Christopher Lippke,R,500,100.00%
First Selectman,statewide,**,D,0,0.00%
First Selectman,statewide,Juan Roman III,R,322,100.00%
Town Council,statewide,Henry J Teskey,D,1830,20.54%
Town Council,statewide,Brian M Roccapriore,D,1830,20.54%
Town Council,statewide,Chris Aniskovich,R,1942,21.80%
Town Council,statewide,Dennis M Donovan,R,1659,18.62%
Town Council,statewide,Carol D Walter,R,1648,18.50%
First Selectman,statewide,Bernie Dennler,D,3515,65.07%
First Selectman,statewide,Andreas Bisbikos,R,1887,34.93%
Mayor,statewide,Laurie Bajorek,D,2554,44.22%
Mayor,statewide,Daniel A. Champagne,R,3222,55.78%
Selectmen,statewide,William P O'Brien,D,915,51.32%
Selectmen,statewide,Judith Szegda Ortiz,D,868,48.68%
Town Council,statewide,Lisa Thomas,D,1860,10.94%
Town Council,statewide,Marty Milkovic,D,1715,10.08%
Town Council,statewide,Jonathan  Hand,D,1810,10.64%
Town Council,statewide,Robyn Gallagher,D,1749,10.28%
Town Council,statewide,Matthew Kyer,D,1805,10.61%
Town Council,statewide,Jack Bullock,R,1580,9.29%
Town Council,statewide,Matthew O'Brien,R,1628,9.57%
Town Council,statewide,John French,R,1608,9.45%
Town Council,statewide,Craig D. Stewart,R,1589,9.34%
Town Council,statewide,Julie A. Blanchard,R,1665,9.79%
First Selectman,statewide,Carol V. Doak-Jones,D,874,50.78%
First Selectman,statewide,Kathryn A. Russell,R,847,49.22%
Town Council,statewide,Chris Moran,D,1853,10.53%
Town Council,statewide,Jennifer Buckler,D,1740,9.89%
Town Council,statewide,Katie Murray,D,1782,10.13%
Town Council,statewide,Merry C. Garrett,D,1705,9.69%
Town Council,statewide,Colleen Yudichak,D,1903,10.81%
Town Council,statewide,Scott Lewis,R,1685,9.58%
Town Council,statewide,Alexander Noonan,R,1747,9.93%
Town Council,statewide,Joseph Sce,R,1715,9.75%
Town Council,statewide,Jacob Marie,R,1774,10.08%
Town Council,statewide,Michael Famiglietti,R,1693,9.62%
First Selectman,statewide,Deborah A. Richards,D,143,44.97%
First Selectman,statewide,Deborah A. Richards,R,175,55.03%
First Selectman,statewide,Tracey Hanson,R,271,100.00%
First Selectman,statewide,Dan Cunningham,D,2751,50.86%
First Selectman,statewide,Anne Santoro,R,2658,49.14%
First Selectman,statewide,Robert Brule,R,3249,100.00%
First Selectman,statewide,Logan Johnson,D,1558,41.74%
First Selectman,statewide,Lori L Spielman,R,2175,58.26%
Councilor District 1,statewide,Emily Hulevitch,D,989,44.61%
Councilor District 1,statewide,Ken Nelson Jr.,R,1228,55.39%
First Selectman,statewide,Cheryl Allen Blanchard,R,286,100.00%
First Selectman,statewide,Ken Beausoleil,D,816,36.77%
First Selectman,statewide,Amy St. Onge,R,1035,46.64%
First Selectman,statewide,"William ""Bill"" Warner",WI,368,16.58%
First Selectman,statewide,Laura Graham,D,1773,29.53%
First Selectman,statewide,Bryan Bentz,R,1251,20.84%
First Selectman,statewide,Michael J. Spellman,PC,500,8.33%
First Selectman,statewide,Norman M  Needleman,D,1327,100.00%
Board of Finance Full Term,statewide,Stacy L. Choti,D,101,14.64%
Board of Finance Full Term,statewide,C. Pete Rabbitt,D,113,16.38%
Board of Finance Full Term,statewide,Neil Delmonico,R,232,33.62%
Board of Finance Full Term,statewide,Robert Salisbury,R,244,35.36%
First Selectman,statewide,Charles W. Grant III,D,289,39.75%
First Selectman,statewide,Alden Miner,R,438,60.25%
First Selectman,statewide,Tina Falck,D,1008,48.37%
First Selectman,statewide,Wayne J. Malin,R,947,45.44%
First Selectman,statewide,Dana Bennett,WI,129,6.19%
First Selectman,statewide,Robert McGarry,R,1790,100.00%
First Selectman,statewide,Allan Cahill,R,351,100.00%
Selectmen,statewide,Claudia Riley,D,1424,25.27%
Selectmen,statewide,John Matra,D,1357,24.08%
Selectmen,statewide,Peter Kasper,R,1479,26.25%
Selectmen,statewide,Keith Petit,R,1375,24.40%
Board of Education Full Term,statewide,Danny Rovero,D,1434,18.11%
Board of Education Full Term,statewide,Kevin Marcoux,D,1419,17.92%
Board of Education Full Term,statewide,Meredith Giambattista,D,1421,17.94%
Board of Education Full Term,statewide,Laura Lawrence,R,1206,15.23%
Board of Education Full Term,statewide,Laura Dombkowski,R,1252,15.81%
Board of Education Full Term,statewide,Norm Ferron,R,1188,15.00%
First Selectman,statewide,John A. Samperi,KCP,418,19.47%
First Selectman,statewide,Eric Couture,D,1117,52.03%
First Selectman,statewide,Amy Roberts-Perry,R,612,28.50%
First Selectman,statewide,Thomas W Sparkman,R,623,100.00%
First Selectman,statewide,David M. Lahm,R,543,100.00%
First Selectman,statewide,Peggy Lyons,D,3453,59.22%
First Selectman,statewide,Jennifer Gordon,R,2378,40.78%
Selectmen,statewide,John Rizza,D,943,25.68%
Selectmen,statewide,Joseph J. Asklar,R,930,25.33%
Selectmen,statewide,Louise L. Concodello,R,919,25.03%
Selectmen,statewide,Mike Nastri,R,880,23.97%
Mayor,statewide,Michael E. Passero,D,1706,62.67%
Mayor,statewide,Beloved Carter,R,565,20.76%
Mayor,statewide,Michael E. Passero,WF,130,4.78%
Mayor,statewide,Leon Richard Long,G,321,11.79%
First Selectman,statewide,Bob Carlson,R,1071,100.00%
City Council,statewide,Swarnjit Singh,D,2931,10.09%
City Council,statewide,Shiela Hayes,D,2814,9.69%
City Council,statewide,Tracey M. Burto,D,2450,8.44%
City Council,statewide,Mark M. Bettencourt,D,2773,9.55%
City Council,statewide,Robert  J.Aldi,D,2557,8.81%
City Council,statewide,Joseph A. DeLucia,D,2876,9.90%
City Council,statewide,Stacy Gould,R,2694,9.28%
City Council,statewide,"Pietro ""Rocky"" Camardella",R,2369,8.16%
City Council,statewide,Grant E. Neuendorf,R,2421,8.34%
